2026-08-10 05:17:08,166 | INFO     | silver.clean_customers | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/silver_clean_customers_20260810.log
2026-08-10 06:20:14,944 | INFO     | silver.clean_customers | Silver pipeline for catalog_project1.silver.clean_customers completed successfully
2026-08-10 06:20:14,946 | INFO     | silver.clean_customers | No new data, watermark value unchanged: 2025-02-16 00:00:00
2026-08-10 06:20:16,726 | INFO     | silver.clean_customers | Audit for catalog_project1.silver.clean_customers is written successfully
2026-08-10 06:23:16,734 | INFO     | silver.clean_customers | Logging to file: /Workspace/Users/krishnasumanbhaipatel@gmail.com/Practice Folder/lakehouse-practice-project/logs/silver_clean_customers_20260810.log
2026-08-10 06:23:16,736 | INFO     | silver.clean_customers | Starting Silver pipeline at 2026-08-10 06:23:16.707071
2026-08-10 06:23:17,705 | INFO     | silver.clean_customers | Incremental load from catalog_project1.bronze.customers
2026-08-10 06:23:18,693 | INFO     | silver.clean_customers | Read 0 records from catalog_project1.bronze.customers
2026-08-10 06:23:18,696 | INFO     | silver.clean_customers | All required columns exists in the catalog_project1.bronze.customers
2026-08-10 06:23:18,696 | WARNING  | silver.clean_customers | New columns detected in catalog_project1.bronze.customers: {'_source_table', '_ingestion_pipeline_id', '_source_file', '_ingestion_timestamp'}
2026-08-10 06:23:19,464 | INFO     | silver.clean_customers | Data standardization completed for the catalog_project1.bronze.customers
2026-08-10 06:23:19,793 | INFO     | silver.clean_customers | Data type casting completed for the catalog_project1.bronze.customers
2026-08-10 06:23:21,246 | INFO     | silver.clean_customers | Business rule validation completed for catalog_project1.bronze.customers
2026-08-10 06:23:21,247 | INFO     | silver.clean_customers | Data validation completed for the catalog_project1.bronze.customers
2026-08-10 06:23:21,618 | INFO     | silver.clean_customers | Deduplication completed for the catalog_project1.bronze.customers
2026-08-10 06:23:24,690 | INFO     | silver.clean_customers | Data written to the catalog_project1.silver.clean_customers
2026-08-10 06:23:26,650 | INFO     | silver.clean_customers | Business rule validation for catalog_project1.silver.clean_customers completed
2026-08-10 06:23:26,650 | INFO     | silver.clean_customers | Data validation for catalog_project1.silver.clean_customers completed
2026-08-10 06:23:26,651 | INFO     | silver.clean_customers | Silver pipeline for catalog_project1.silver.clean_customers completed successfully
2026-08-10 06:23:26,652 | INFO     | silver.clean_customers | No new data, watermark value unchanged: 2025-02-16 00:00:00
2026-08-10 06:23:28,159 | INFO     | silver.clean_customers | Audit for catalog_project1.silver.clean_customers is written successfully
